#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-04-28T10:25:24.926928304Z,2025-04-28T10:30:24.926928304Z,2025-04-28T10:28:22.087Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:25:24.926928304Z,2025-04-28T10:30:24.926928304Z,2025-04-28T10:28:23.139Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:25:24.926928304Z,2025-04-28T10:30:24.926928304Z,2025-04-28T10:28:24.254Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:25:24.926928304Z,2025-04-28T10:30:24.926928304Z,2025-04-28T10:28:25.298Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:25:24.926928304Z,2025-04-28T10:30:24.926928304Z,2025-04-28T10:28:26.289Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:25:24.926928304Z,2025-04-28T10:30:24.926928304Z,2025-04-28T10:28:26.29Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:25:24.926928304Z,2025-04-28T10:30:24.926928304Z,2025-04-28T10:28:27.367Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:25:24.926928304Z,2025-04-28T10:30:24.926928304Z,2025-04-28T10:28:28.413Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:25:24.926928304Z,2025-04-28T10:30:24.926928304Z,2025-04-28T10:28:29.421Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:25:24.926928304Z,2025-04-28T10:30:24.926928304Z,2025-04-28T10:28:30.534Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:25:24.926928304Z,2025-04-28T10:30:24.926928304Z,2025-04-28T10:28:31.543Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:25:24.926928304Z,2025-04-28T10:30:24.926928304Z,2025-04-28T10:28:32.609Z,8348065792,avaible_memory,/amf
