#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-04-28T10:32:40.616295169Z,2025-04-28T10:37:40.616295169Z,2025-04-28T10:35:40.678Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:32:40.616295169Z,2025-04-28T10:37:40.616295169Z,2025-04-28T10:35:41.676Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:32:40.616295169Z,2025-04-28T10:37:40.616295169Z,2025-04-28T10:35:42.78Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:32:40.616295169Z,2025-04-28T10:37:40.616295169Z,2025-04-28T10:35:43.823Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:32:40.616295169Z,2025-04-28T10:37:40.616295169Z,2025-04-28T10:35:44.848Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:32:40.616295169Z,2025-04-28T10:37:40.616295169Z,2025-04-28T10:35:45.908Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:32:40.616295169Z,2025-04-28T10:37:40.616295169Z,2025-04-28T10:35:46.977Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:32:40.616295169Z,2025-04-28T10:37:40.616295169Z,2025-04-28T10:35:47.966Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:32:40.616295169Z,2025-04-28T10:37:40.616295169Z,2025-04-28T10:35:49.052Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:32:40.616295169Z,2025-04-28T10:37:40.616295169Z,2025-04-28T10:35:50.067Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:32:40.616295169Z,2025-04-28T10:37:40.616295169Z,2025-04-28T10:35:51.148Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:32:40.616295169Z,2025-04-28T10:37:40.616295169Z,2025-04-28T10:35:52.158Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:32:40.616295169Z,2025-04-28T10:37:40.616295169Z,2025-04-28T10:35:53.227Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:32:40.616295169Z,2025-04-28T10:37:40.616295169Z,2025-04-28T10:35:54.29Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:32:40.616295169Z,2025-04-28T10:37:40.616295169Z,2025-04-28T10:35:55.396Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:32:40.616295169Z,2025-04-28T10:37:40.616295169Z,2025-04-28T10:35:56.417Z,8348065792,avaible_memory,/amf
