#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:05.208Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:06.245Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:07.348Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:08.389Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:09.452Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:10.466Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:11.545Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:12.588Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:13.623Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:14.623Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:15.71Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:16.758Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:17.807Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:18.842Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:19.917Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:20.971Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:22.042Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:23.081Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:24.147Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:25.196Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:26.255Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:29:05.855189541Z,2025-04-28T10:34:05.855189541Z,2025-04-28T10:32:27.333Z,8348065792,avaible_memory,/amf
