#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:39.324Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:40.413Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:41.442Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:41.443Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:42.49Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:43.533Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:44.559Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:45.604Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:46.649Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:47.697Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:48.72Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:49.753Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:50.809Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:51.876Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:52.912Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:53.977Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:55.016Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:56.055Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:57.051Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:58.125Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:42:59.113Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:00.195Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:01.191Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:02.233Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:03.295Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:04.338Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:05.402Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:06.401Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:07.469Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:08.495Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:08.507Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:09.511Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:10.584Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:11.601Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:12.657Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:13.667Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:14.711Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:15.748Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:16.76Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:17.799Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:39:42.726594955Z,2025-04-28T10:44:42.726594955Z,2025-04-28T10:43:18.861Z,8348065792,avaible_memory,/amf
