#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:56:58.206Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:56:59.371Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:57:00.417Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:57:01.47Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:57:02.524Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:57:02.525Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:57:03.571Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:57:04.634Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:57:05.672Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:57:06.713Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:57:07.779Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:57:08.829Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:57:09.89Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:57:10.903Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:57:11.972Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:57:13.011Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:57:14.061Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:57:15.12Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:57:16.169Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:53:58.197379785Z,2025-04-28T10:58:58.197379785Z,2025-04-28T10:57:17.232Z,8348065792,avaible_memory,/amf
