#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:49:45.444Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:49:46.501Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:49:47.523Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:49:48.588Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:49:49.623Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:49:49.624Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:49:50.668Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:49:51.713Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:49:52.761Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:49:53.819Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:49:54.809Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:49:55.906Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:49:56.962Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:49:58.039Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:49:59.1Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:50:00.11Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:50:01.165Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:50:02.244Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:50:03.269Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:50:04.312Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:50:05.365Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:50:06.428Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:50:07.44Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:50:08.505Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:50:09.554Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:50:10.576Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:50:11.619Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:50:12.666Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:50:13.708Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:50:14.746Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:50:15.784Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:50:16.821Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:46:47.771613017Z,2025-04-28T10:51:47.771613017Z,2025-04-28T10:50:17.883Z,8348065792,avaible_memory,/amf
