20250428104657,60.60.0.2,34793,10.100.200.16,5001,3,0.0-1.0,21758012,174064096
20250428104658,60.60.0.2,34793,10.100.200.16,5001,3,1.0-2.0,19660800,157286400
20250428104659,60.60.0.2,34793,10.100.200.16,5001,3,2.0-3.0,23461888,187695104
20250428104700,60.60.0.2,34793,10.100.200.16,5001,3,3.0-4.0,26476544,211812352
20250428104701,60.60.0.2,34793,10.100.200.16,5001,3,4.0-5.0,27525120,220200960
20250428104702,60.60.0.2,34793,10.100.200.16,5001,3,5.0-6.0,25952256,207618048
20250428104703,60.60.0.2,34793,10.100.200.16,5001,3,6.0-7.0,23461888,187695104
20250428104704,60.60.0.2,34793,10.100.200.16,5001,3,7.0-8.0,26607616,212860928
20250428104705,60.60.0.2,34793,10.100.200.16,5001,3,8.0-9.0,15073280,120586240
20250428104706,60.60.0.2,34793,10.100.200.16,5001,3,9.0-10.0,22937600,183500800
20250428104707,60.60.0.2,34793,10.100.200.16,5001,3,10.0-11.0,18350080,146800640
20250428104708,60.60.0.2,34793,10.100.200.16,5001,3,11.0-12.0,27000832,216006656
20250428104709,60.60.0.2,34793,10.100.200.16,5001,3,12.0-13.0,26869760,214958080
20250428104710,60.60.0.2,34793,10.100.200.16,5001,3,13.0-14.0,15990784,127926272
20250428104711,60.60.0.2,34793,10.100.200.16,5001,3,14.0-15.0,20316160,162529280
20250428104712,60.60.0.2,34793,10.100.200.16,5001,3,15.0-16.0,24510464,196083712
20250428104713,60.60.0.2,34793,10.100.200.16,5001,3,16.0-17.0,25952256,207618048
20250428104714,60.60.0.2,34793,10.100.200.16,5001,3,17.0-18.0,21757952,174063616
20250428104715,60.60.0.2,34793,10.100.200.16,5001,3,18.0-19.0,19529728,156237824
20250428104716,60.60.0.2,34793,10.100.200.16,5001,3,19.0-20.0,22544384,180355072
20250428104717,60.60.0.2,34793,10.100.200.16,5001,3,20.0-21.0,19791872,158334976
20250428104718,60.60.0.2,34793,10.100.200.16,5001,3,21.0-22.0,15466496,123731968
20250428104719,60.60.0.2,34793,10.100.200.16,5001,3,22.0-23.0,20185088,161480704
20250428104720,60.60.0.2,34793,10.100.200.16,5001,3,23.0-24.0,14548992,116391936
20250428104721,60.60.0.2,34793,10.100.200.16,5001,3,24.0-25.0,15597568,124780544
20250428104722,60.60.0.2,34793,10.100.200.16,5001,3,25.0-26.0,20185088,161480704
20250428104723,60.60.0.2,34793,10.100.200.16,5001,3,26.0-27.0,19529728,156237824
20250428104724,60.60.0.2,34793,10.100.200.16,5001,3,27.0-28.0,20709376,165675008
20250428104725,60.60.0.2,34793,10.100.200.16,5001,3,28.0-29.0,16515072,132120576
20250428104726,60.60.0.2,34793,10.100.200.16,5001,3,29.0-30.0,19005440,152043520
20250428104727,60.60.0.2,34793,10.100.200.16,5001,3,30.0-31.0,20578304,164626432
20250428104728,60.60.0.2,34793,10.100.200.16,5001,3,31.0-32.0,20578304,164626432
20250428104729,60.60.0.2,34793,10.100.200.16,5001,3,32.0-33.0,20709376,165675008
20250428104730,60.60.0.2,34793,10.100.200.16,5001,3,33.0-34.0,19005440,152043520
20250428104731,60.60.0.2,34793,10.100.200.16,5001,3,34.0-35.0,15204352,121634816
20250428104732,60.60.0.2,34793,10.100.200.16,5001,3,35.0-36.0,19267584,154140672
20250428104733,60.60.0.2,34793,10.100.200.16,5001,3,36.0-37.0,20447232,163577856
20250428104734,60.60.0.2,34793,10.100.200.16,5001,3,37.0-38.0,16777216,134217728
20250428104735,60.60.0.2,34793,10.100.200.16,5001,3,38.0-39.0,21102592,168820736
20250428104736,60.60.0.2,34793,10.100.200.16,5001,3,39.0-40.0,20185088,161480704
20250428104737,60.60.0.2,34793,10.100.200.16,5001,3,40.0-41.0,19791872,158334976
20250428104738,60.60.0.2,34793,10.100.200.16,5001,3,41.0-42.0,18612224,148897792
20250428104739,60.60.0.2,34793,10.100.200.16,5001,3,42.0-43.0,19529728,156237824
20250428104740,60.60.0.2,34793,10.100.200.16,5001,3,43.0-44.0,19136512,153092096
20250428104741,60.60.0.2,34793,10.100.200.16,5001,3,44.0-45.0,14024704,112197632
20250428104742,60.60.0.2,34793,10.100.200.16,5001,3,45.0-46.0,20316160,162529280
20250428104743,60.60.0.2,34793,10.100.200.16,5001,3,46.0-47.0,16384000,131072000
20250428104744,60.60.0.2,34793,10.100.200.16,5001,3,47.0-48.0,21102592,168820736
20250428104745,60.60.0.2,34793,10.100.200.16,5001,3,48.0-49.0,19660800,157286400
20250428104746,60.60.0.2,34793,10.100.200.16,5001,3,49.0-50.0,18743296,149946368
20250428104747,60.60.0.2,34793,10.100.200.16,5001,3,50.0-51.0,16908288,135266304
20250428104748,60.60.0.2,34793,10.100.200.16,5001,3,51.0-52.0,20316160,162529280
20250428104749,60.60.0.2,34793,10.100.200.16,5001,3,52.0-53.0,20054016,160432128
20250428104750,60.60.0.2,34793,10.100.200.16,5001,3,53.0-54.0,20185088,161480704
20250428104751,60.60.0.2,34793,10.100.200.16,5001,3,54.0-55.0,20054016,160432128
20250428104752,60.60.0.2,34793,10.100.200.16,5001,3,55.0-56.0,17956864,143654912
20250428104753,60.60.0.2,34793,10.100.200.16,5001,3,56.0-57.0,20971520,167772160
20250428104754,60.60.0.2,34793,10.100.200.16,5001,3,57.0-58.0,19136512,153092096
20250428104755,60.60.0.2,34793,10.100.200.16,5001,3,58.0-59.0,17301504,138412032
20250428104756,60.60.0.2,34793,10.100.200.16,5001,3,59.0-60.0,19791872,158334976
20250428104756,60.60.0.2,34793,10.100.200.16,5001,3,60.0-60.0,262144,69949367
20250428104756,60.60.0.2,34793,10.100.200.16,5001,3,0.0-60.0,1211367484,161434998
