#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:24:47.26Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:24:48.34Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:24:49.339Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:24:50.398Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:24:51.41Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:24:52.504Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:24:53.483Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:24:54.557Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:24:55.595Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:24:56.674Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:24:57.721Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:24:58.756Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:24:59.832Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:00.84Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:01.919Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:02.899Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:03.948Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:05.017Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:06.05Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:07.083Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:08.143Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:09.163Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:10.189Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:11.271Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:12.313Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:13.361Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:14.423Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:14.424Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:15.457Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:16.457Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:17.507Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:18.579Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:19.599Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:20.599Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:21.691Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:22.714Z,8348065792,avaible_memory,/amf
,,0,2025-04-28T10:21:48.98091711Z,2025-04-28T10:26:48.98091711Z,2025-04-28T10:25:23.746Z,8348065792,avaible_memory,/amf
